2021-10-04 13:33:08.638 GMT [16544] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:33:08.639 GMT [16544] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:33:08.641 GMT [16544] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-04 13:33:08.641 GMT [16544] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-04 15:33:08.645 CAT [6980] LOG:  statistics collector process (PID 16544) exited with exit code 1
2021-10-04 15:33:18.365 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-04 13:34:08.689 GMT [14244] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:34:08.690 GMT [14244] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:34:08.692 GMT [14244] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-04 13:34:08.692 GMT [14244] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-04 15:34:08.696 CAT [6980] LOG:  statistics collector process (PID 14244) exited with exit code 1
2021-10-04 15:34:34.161 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-04 13:35:08.828 GMT [10408] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:35:08.829 GMT [10408] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:35:08.830 GMT [10408] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-04 13:35:08.830 GMT [10408] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-04 15:35:08.835 CAT [6980] LOG:  statistics collector process (PID 10408) exited with exit code 1
2021-10-04 15:35:49.977 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-04 13:36:08.880 GMT [16816] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:36:08.881 GMT [16816] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:36:08.883 GMT [16816] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-04 13:36:08.883 GMT [16816] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-04 15:36:08.907 CAT [6980] LOG:  statistics collector process (PID 16816) exited with exit code 1
2021-10-04 15:37:05.681 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-04 13:37:08.940 GMT [5132] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:37:08.941 GMT [5132] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:37:08.943 GMT [5132] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-04 13:37:08.943 GMT [5132] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-04 15:37:08.971 CAT [6980] LOG:  statistics collector process (PID 5132) exited with exit code 1
2021-10-04 13:38:08.993 GMT [4228] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:38:08.994 GMT [4228] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:38:08.995 GMT [4228] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-04 13:38:08.995 GMT [4228] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-04 15:38:09.000 CAT [6980] LOG:  statistics collector process (PID 4228) exited with exit code 1
2021-10-04 15:38:21.488 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-04 13:39:09.025 GMT [8620] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:39:09.027 GMT [8620] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-04 13:39:09.029 GMT [8620] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-04 13:39:09.029 GMT [8620] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-04 15:39:09.050 CAT [6980] LOG:  statistics collector process (PID 8620) exited with exit code 1
2021-10-04 15:39:37.283 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-04 13:40:09.089 GMT [8164] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
