2021-09-09 07:30:20.326 GMT [6772] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:30:20.328 GMT [6772] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:30:20.330 GMT [6772] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:30:20.330 GMT [6772] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 09:30:20.348 CAT [6980] LOG:  statistics collector process (PID 6772) exited with exit code 1
2021-09-09 09:30:51.739 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-09 07:31:20.399 GMT [7040] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:31:20.400 GMT [7040] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:31:20.402 GMT [7040] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:31:20.402 GMT [7040] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 09:31:20.421 CAT [6980] LOG:  statistics collector process (PID 7040) exited with exit code 1
2021-09-09 09:32:07.518 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-09 09:33:23.107 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-09 07:33:53.669 GMT [10280] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:33:53.670 GMT [10280] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:33:53.672 GMT [10280] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:33:53.672 GMT [10280] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 09:33:53.700 CAT [6980] LOG:  statistics collector process (PID 10280) exited with exit code 1
2021-09-09 07:33:58.926 GMT [5132] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:33:58.927 GMT [5132] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:33:58.929 GMT [5132] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:33:58.929 GMT [5132] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 09:33:58.934 CAT [6980] LOG:  statistics collector process (PID 5132) exited with exit code 1
2021-09-09 09:34:38.946 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-09 07:34:58.981 GMT [7200] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:34:58.982 GMT [7200] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:34:58.984 GMT [7200] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:34:58.984 GMT [7200] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 09:34:59.015 CAT [6980] LOG:  statistics collector process (PID 7200) exited with exit code 1
2021-09-09 09:35:54.723 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-09 07:35:59.053 GMT [9284] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:35:59.054 GMT [9284] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:35:59.056 GMT [9284] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:35:59.056 GMT [9284] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 09:35:59.073 CAT [6980] LOG:  statistics collector process (PID 9284) exited with exit code 1
2021-09-09 07:36:59.208 GMT [1860] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:36:59.209 GMT [1860] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:36:59.210 GMT [1860] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:36:59.210 GMT [1860] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 09:36:59.237 CAT [6980] LOG:  statistics collector process (PID 1860) exited with exit code 1
2021-09-09 09:37:10.511 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-09 07:37:59.273 GMT [11952] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:37:59.274 GMT [11952] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:37:59.275 GMT [11952] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:37:59.275 GMT [11952] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 09:37:59.281 CAT [6980] LOG:  statistics collector process (PID 11952) exited with exit code 1
2021-09-09 09:38:25.357 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-09 07:38:59.316 GMT [10452] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:38:59.317 GMT [10452] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:38:59.319 GMT [10452] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:38:59.319 GMT [10452] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 09:38:59.349 CAT [6980] LOG:  statistics collector process (PID 10452) exited with exit code 1
2021-09-09 09:39:39.442 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-09 07:39:59.375 GMT [8120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:39:59.376 GMT [8120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:39:59.378 GMT [8120] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:39:59.378 GMT [8120] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 09:39:59.394 CAT [6980] LOG:  statistics collector process (PID 8120) exited with exit code 1
2021-09-09 09:40:54.270 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-09 07:40:59.434 GMT [2276] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:40:59.435 GMT [2276] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:40:59.437 GMT [2276] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:40:59.437 GMT [2276] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-09 09:40:59.442 CAT [6980] LOG:  statistics collector process (PID 2276) exited with exit code 1
2021-09-09 07:41:59.581 GMT [11316] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:41:59.582 GMT [11316] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-09 07:41:59.583 GMT [11316] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-09 07:41:59.583 GMT [11316] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
