2021-09-16 16:44:54.434 GMT [14124] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:44:54.434 GMT [14124] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:44:54.460 CAT [6980] LOG:  statistics collector process (PID 14124) exited with exit code 1
2021-09-16 18:45:43.471 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:45:54.492 GMT [2452] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:45:54.493 GMT [2452] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:45:54.494 GMT [2452] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:45:54.494 GMT [2452] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:45:54.517 CAT [6980] LOG:  statistics collector process (PID 2452) exited with exit code 1
2021-09-16 16:46:54.553 GMT [13448] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:46:54.554 GMT [13448] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:46:54.556 GMT [13448] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:46:54.556 GMT [13448] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:46:54.561 CAT [6980] LOG:  statistics collector process (PID 13448) exited with exit code 1
2021-09-16 18:46:58.193 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:47:54.605 GMT [12548] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:47:54.607 GMT [12548] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:47:54.609 GMT [12548] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:47:54.609 GMT [12548] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:47:54.625 CAT [6980] LOG:  statistics collector process (PID 12548) exited with exit code 1
2021-09-16 18:48:08.635 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:48:54.679 GMT [13524] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:48:54.680 GMT [13524] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:48:54.682 GMT [13524] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:48:54.682 GMT [13524] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:48:54.687 CAT [6980] LOG:  statistics collector process (PID 13524) exited with exit code 1
2021-09-16 18:49:19.102 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:49:54.740 GMT [11100] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:49:54.741 GMT [11100] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:49:54.743 GMT [11100] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:49:54.743 GMT [11100] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:49:54.759 CAT [6980] LOG:  statistics collector process (PID 11100) exited with exit code 1
2021-09-16 18:50:29.535 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:50:54.795 GMT [1768] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:50:54.796 GMT [1768] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:50:54.799 GMT [1768] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:50:54.799 GMT [1768] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:50:54.816 CAT [6980] LOG:  statistics collector process (PID 1768) exited with exit code 1
2021-09-16 18:51:39.967 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:51:54.847 GMT [4616] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:51:54.848 GMT [4616] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:51:54.850 GMT [4616] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:51:54.850 GMT [4616] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:51:54.854 CAT [6980] LOG:  statistics collector process (PID 4616) exited with exit code 1
2021-09-16 18:52:50.382 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:52:54.892 GMT [6332] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:52:54.894 GMT [6332] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:52:54.896 GMT [6332] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:52:54.896 GMT [6332] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:52:54.901 CAT [6980] LOG:  statistics collector process (PID 6332) exited with exit code 1
2021-09-16 16:53:54.943 GMT [13188] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:53:54.944 GMT [13188] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:53:54.945 GMT [13188] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:53:54.945 GMT [13188] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-16 18:53:54.964 CAT [6980] LOG:  statistics collector process (PID 13188) exited with exit code 1
2021-09-16 18:54:02.075 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-16 16:54:54.985 GMT [11660] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:54:54.987 GMT [11660] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-16 16:54:54.990 GMT [11660] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-16 16:54:54.990 GMT [11660] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
