2021-10-12 13:35:43.948 GMT [13572] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:35:43.948 GMT [13572] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:35:43.972 CAT [6980] LOG:  statistics collector process (PID 13572) exited with exit code 1
2021-10-12 15:36:03.894 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:36:44.077 GMT [9776] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:36:44.078 GMT [9776] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:36:44.080 GMT [9776] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:36:44.080 GMT [9776] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:36:44.101 CAT [6980] LOG:  statistics collector process (PID 9776) exited with exit code 1
2021-10-12 15:37:19.708 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:37:44.140 GMT [18464] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:37:44.141 GMT [18464] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:37:44.143 GMT [18464] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:37:44.143 GMT [18464] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:37:44.169 CAT [6980] LOG:  statistics collector process (PID 18464) exited with exit code 1
2021-10-12 15:38:35.493 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:38:44.316 GMT [688] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:38:44.317 GMT [688] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:38:44.319 GMT [688] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:38:44.319 GMT [688] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:38:44.337 CAT [6980] LOG:  statistics collector process (PID 688) exited with exit code 1
2021-10-12 13:39:44.384 GMT [464] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:39:44.384 GMT [464] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:39:44.386 GMT [464] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:39:44.386 GMT [464] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:39:44.411 CAT [6980] LOG:  statistics collector process (PID 464) exited with exit code 1
2021-10-12 15:39:51.309 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:40:44.461 GMT [5584] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:40:44.462 GMT [5584] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:40:44.463 GMT [5584] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:40:44.463 GMT [5584] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:40:44.467 CAT [6980] LOG:  statistics collector process (PID 5584) exited with exit code 1
2021-10-12 15:41:07.110 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:41:44.520 GMT [1124] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:41:44.521 GMT [1124] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:41:44.522 GMT [1124] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:41:44.522 GMT [1124] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:41:44.548 CAT [6980] LOG:  statistics collector process (PID 1124) exited with exit code 1
2021-10-12 15:42:22.918 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:42:44.585 GMT [7200] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:42:44.586 GMT [7200] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-12 13:42:44.587 GMT [7200] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-12 13:42:44.587 GMT [7200] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-12 15:42:44.592 CAT [6980] LOG:  statistics collector process (PID 7200) exited with exit code 1
2021-10-12 15:43:38.731 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-12 13:43:44.610 GMT [10228] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
