2021-10-01 11:32:07.139 GMT [16512] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-01 11:32:07.143 GMT [16512] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-01 11:32:07.152 GMT [16512] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-01 11:32:07.152 GMT [16512] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-01 13:32:07.185 CAT [6980] LOG:  statistics collector process (PID 16512) exited with exit code 1
2021-10-01 13:32:26.525 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-01 11:33:07.304 GMT [7292] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-01 11:33:07.311 GMT [7292] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-01 11:33:07.323 GMT [7292] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-01 11:33:07.323 GMT [7292] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-01 13:33:07.359 CAT [6980] LOG:  statistics collector process (PID 7292) exited with exit code 1
2021-10-01 13:33:44.456 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-01 11:34:07.536 GMT [13052] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-01 11:34:07.543 GMT [13052] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-01 11:34:07.556 GMT [13052] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-01 11:34:07.556 GMT [13052] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-01 13:34:07.610 CAT [6980] LOG:  statistics collector process (PID 13052) exited with exit code 1
2021-10-01 13:35:01.677 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
