2021-09-30 16:52:12.360 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-30 14:52:32.489 GMT [13816] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:52:32.490 GMT [13816] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:52:32.494 GMT [13816] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-30 14:52:32.494 GMT [13816] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-30 16:52:32.521 CAT [6980] LOG:  statistics collector process (PID 13816) exited with exit code 1
2021-09-30 16:53:27.203 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-30 14:53:32.553 GMT [12840] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:53:32.554 GMT [12840] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:53:32.556 GMT [12840] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-30 14:53:32.556 GMT [12840] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-30 16:53:32.583 CAT [6980] LOG:  statistics collector process (PID 12840) exited with exit code 1
2021-09-30 14:54:32.621 GMT [12560] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:54:32.622 GMT [12560] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:54:32.624 GMT [12560] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-30 14:54:32.624 GMT [12560] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-30 16:54:32.648 CAT [6980] LOG:  statistics collector process (PID 12560) exited with exit code 1
2021-09-30 16:54:40.657 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-30 14:55:32.684 GMT [1080] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:55:32.685 GMT [1080] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:55:32.687 GMT [1080] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-30 14:55:32.687 GMT [1080] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-30 16:55:32.702 CAT [6980] LOG:  statistics collector process (PID 1080) exited with exit code 1
2021-09-30 16:55:54.431 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-30 14:56:32.866 GMT [16372] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:56:32.867 GMT [16372] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:56:32.869 GMT [16372] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-30 14:56:32.869 GMT [16372] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-30 16:56:32.887 CAT [6980] LOG:  statistics collector process (PID 16372) exited with exit code 1
2021-09-30 16:57:08.852 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-30 14:57:32.923 GMT [12548] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:57:32.924 GMT [12548] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:57:32.926 GMT [12548] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-30 14:57:32.926 GMT [12548] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-30 16:57:32.954 CAT [6980] LOG:  statistics collector process (PID 12548) exited with exit code 1
2021-09-30 16:58:23.720 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-30 14:58:32.991 GMT [4256] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:58:32.992 GMT [4256] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:58:32.994 GMT [4256] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-30 14:58:32.994 GMT [4256] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-30 16:58:33.014 CAT [6980] LOG:  statistics collector process (PID 4256) exited with exit code 1
2021-09-30 14:59:33.155 GMT [15416] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:59:33.156 GMT [15416] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 14:59:33.158 GMT [15416] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-30 14:59:33.158 GMT [15416] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-30 16:59:33.182 CAT [6980] LOG:  statistics collector process (PID 15416) exited with exit code 1
2021-09-30 16:59:38.066 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-30 15:00:33.222 GMT [6852] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 15:00:33.223 GMT [6852] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 15:00:33.225 GMT [6852] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-30 15:00:33.225 GMT [6852] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-30 17:00:33.245 CAT [6980] LOG:  statistics collector process (PID 6852) exited with exit code 1
2021-09-30 17:00:52.953 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-30 15:01:33.439 GMT [16744] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 15:01:33.440 GMT [16744] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-30 15:01:33.442 GMT [16744] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-30 15:01:33.442 GMT [16744] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-30 17:01:33.457 CAT [6980] LOG:  statistics collector process (PID 16744) exited with exit code 1
