2021-09-28 10:56:42.333 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-28 08:57:13.805 GMT [17276] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 08:57:13.806 GMT [17276] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 08:57:13.808 GMT [17276] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-28 08:57:13.808 GMT [17276] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-28 10:57:13.834 CAT [6980] LOG:  statistics collector process (PID 17276) exited with exit code 1
2021-09-28 10:57:58.161 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-28 08:58:13.883 GMT [3472] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 08:58:13.884 GMT [3472] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 08:58:13.886 GMT [3472] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-28 08:58:13.886 GMT [3472] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-28 10:58:13.910 CAT [6980] LOG:  statistics collector process (PID 3472) exited with exit code 1
2021-09-28 08:59:13.941 GMT [16392] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 08:59:13.942 GMT [16392] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 08:59:13.943 GMT [16392] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-28 08:59:13.943 GMT [16392] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-28 10:59:13.962 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-28 10:59:13.965 CAT [6980] LOG:  statistics collector process (PID 16392) exited with exit code 1
2021-09-28 09:00:14.009 GMT [11408] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:00:14.010 GMT [11408] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:00:14.013 GMT [11408] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-28 09:00:14.013 GMT [11408] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-28 11:00:14.019 CAT [6980] LOG:  statistics collector process (PID 11408) exited with exit code 1
2021-09-28 11:00:29.718 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-28 09:01:14.203 GMT [16860] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:01:14.204 GMT [16860] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:01:14.206 GMT [16860] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-28 09:01:14.206 GMT [16860] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-28 11:01:14.211 CAT [6980] LOG:  statistics collector process (PID 16860) exited with exit code 1
2021-09-28 11:01:45.487 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-28 09:02:14.400 GMT [6964] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:02:14.402 GMT [6964] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:02:14.405 GMT [6964] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-28 09:02:14.405 GMT [6964] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-28 11:02:14.435 CAT [6980] LOG:  statistics collector process (PID 6964) exited with exit code 1
2021-09-28 11:03:00.099 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-28 09:03:14.464 GMT [9800] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:03:14.465 GMT [9800] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:03:14.467 GMT [9800] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-28 09:03:14.467 GMT [9800] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-28 11:03:14.482 CAT [6980] LOG:  statistics collector process (PID 9800) exited with exit code 1
2021-09-28 09:04:14.523 GMT [16612] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:04:14.524 GMT [16612] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:04:14.525 GMT [16612] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-28 09:04:14.525 GMT [16612] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-28 11:04:14.530 CAT [6980] LOG:  statistics collector process (PID 16612) exited with exit code 1
2021-09-28 11:04:15.904 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-28 09:05:14.566 GMT [4164] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:05:14.567 GMT [4164] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-28 09:05:14.568 GMT [4164] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-28 09:05:14.568 GMT [4164] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-28 11:05:14.595 CAT [6980] LOG:  statistics collector process (PID 4164) exited with exit code 1
2021-09-28 11:05:31.723 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-28 09:06:14.644 GMT [13112] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
