2021-09-14 22:21:27.153 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-14 20:21:48.691 GMT [1852] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-14 20:21:48.698 GMT [1852] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-14 20:21:48.710 GMT [1852] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-14 20:21:48.710 GMT [1852] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-14 22:21:48.736 CAT [6980] LOG:  statistics collector process (PID 1852) exited with exit code 1
2021-09-14 22:22:40.119 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-14 20:22:48.869 GMT [8752] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-14 20:22:48.876 GMT [8752] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-14 20:22:48.887 GMT [8752] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-14 20:22:48.887 GMT [8752] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-14 22:22:48.921 CAT [6980] LOG:  statistics collector process (PID 8752) exited with exit code 1
2021-09-14 20:23:49.062 GMT [9300] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-14 20:23:49.068 GMT [9300] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-14 20:23:49.080 GMT [9300] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-14 20:23:49.080 GMT [9300] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-14 22:23:49.108 CAT [6980] LOG:  statistics collector process (PID 9300) exited with exit code 1
2021-09-14 22:23:53.588 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-14 20:24:49.238 GMT [2408] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-14 20:24:49.243 GMT [2408] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-14 20:24:49.253 GMT [2408] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-14 20:24:49.253 GMT [2408] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-14 22:24:49.275 CAT [6980] LOG:  statistics collector process (PID 2408) exited with exit code 1
2021-09-14 22:25:06.953 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
