2021-10-15 13:32:49.201 GMT [13492] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:32:49.202 GMT [13492] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:32:49.204 GMT [13492] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:32:49.204 GMT [13492] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:32:49.218 CAT [6980] LOG:  statistics collector process (PID 13492) exited with exit code 1
2021-10-15 15:32:58.383 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-15 13:33:49.276 GMT [13092] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:33:49.277 GMT [13092] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:33:49.279 GMT [13092] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:33:49.279 GMT [13092] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:33:49.283 CAT [6980] LOG:  statistics collector process (PID 13092) exited with exit code 1
2021-10-15 15:34:12.389 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-15 13:34:49.379 GMT [8696] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:34:49.380 GMT [8696] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:34:49.382 GMT [8696] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:34:49.382 GMT [8696] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:34:49.397 CAT [6980] LOG:  statistics collector process (PID 8696) exited with exit code 1
2021-10-15 15:35:22.847 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-15 13:35:49.436 GMT [12608] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:35:49.437 GMT [12608] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:35:49.439 GMT [12608] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:35:49.439 GMT [12608] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:35:49.453 CAT [6980] LOG:  statistics collector process (PID 12608) exited with exit code 1
2021-10-15 15:36:34.878 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-15 13:36:49.498 GMT [17416] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:36:49.499 GMT [17416] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:36:49.501 GMT [17416] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:36:49.501 GMT [17416] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:36:49.505 CAT [6980] LOG:  statistics collector process (PID 17416) exited with exit code 1
2021-10-15 15:37:47.016 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-15 13:37:49.524 GMT [6816] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:37:49.525 GMT [6816] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:37:49.528 GMT [6816] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:37:49.528 GMT [6816] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:37:49.534 CAT [6980] LOG:  statistics collector process (PID 6816) exited with exit code 1
2021-10-15 13:38:49.574 GMT [8924] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:38:49.575 GMT [8924] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:38:49.577 GMT [8924] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:38:49.577 GMT [8924] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:38:49.591 CAT [6980] LOG:  statistics collector process (PID 8924) exited with exit code 1
2021-10-15 15:38:59.186 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-15 13:39:49.639 GMT [13548] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:39:49.640 GMT [13548] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:39:49.643 GMT [13548] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:39:49.643 GMT [13548] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:39:49.649 CAT [6980] LOG:  statistics collector process (PID 13548) exited with exit code 1
2021-10-15 15:40:11.462 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-15 13:40:49.876 GMT [11196] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:40:49.877 GMT [11196] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:40:49.879 GMT [11196] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:40:49.879 GMT [11196] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:40:49.896 CAT [6980] LOG:  statistics collector process (PID 11196) exited with exit code 1
2021-10-15 15:41:25.879 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-15 13:41:49.932 GMT [13252] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:41:49.933 GMT [13252] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:41:49.935 GMT [13252] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:41:49.935 GMT [13252] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:41:49.949 CAT [6980] LOG:  statistics collector process (PID 13252) exited with exit code 1
2021-10-15 15:42:40.449 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-15 13:42:50.297 GMT [18396] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:42:50.298 GMT [18396] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:42:50.300 GMT [18396] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:42:50.300 GMT [18396] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:42:50.305 CAT [6980] LOG:  statistics collector process (PID 18396) exited with exit code 1
2021-10-15 13:43:50.350 GMT [13940] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:43:50.351 GMT [13940] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:43:50.353 GMT [13940] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-15 13:43:50.353 GMT [13940] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-15 15:43:50.368 CAT [6980] LOG:  statistics collector process (PID 13940) exited with exit code 1
2021-10-15 15:43:52.141 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-15 13:44:50.403 GMT [3500] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-15 13:44:50.403 GMT [3500] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
