2021-10-11 09:40:19.578 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-11 07:40:47.305 GMT [8744] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:40:47.306 GMT [8744] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:40:47.307 GMT [8744] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-11 07:40:47.307 GMT [8744] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-11 09:40:47.322 CAT [6980] LOG:  statistics collector process (PID 8744) exited with exit code 1
2021-10-11 09:41:35.155 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-11 07:41:47.374 GMT [11992] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:41:47.375 GMT [11992] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:41:47.377 GMT [11992] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-11 07:41:47.377 GMT [11992] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-11 09:41:47.401 CAT [6980] LOG:  statistics collector process (PID 11992) exited with exit code 1
2021-10-11 07:42:47.440 GMT [15976] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:42:47.441 GMT [15976] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:42:47.443 GMT [15976] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-11 07:42:47.443 GMT [15976] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-11 09:42:47.468 CAT [6980] LOG:  statistics collector process (PID 15976) exited with exit code 1
2021-10-11 09:42:50.680 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-11 07:43:47.513 GMT [8620] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:43:47.514 GMT [8620] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:43:47.516 GMT [8620] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-11 07:43:47.516 GMT [8620] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-11 09:43:47.540 CAT [6980] LOG:  statistics collector process (PID 8620) exited with exit code 1
2021-10-11 09:44:06.286 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-11 07:44:47.569 GMT [15256] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:44:47.570 GMT [15256] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:44:47.572 GMT [15256] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-11 07:44:47.572 GMT [15256] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-11 09:44:47.590 CAT [6980] LOG:  statistics collector process (PID 15256) exited with exit code 1
2021-10-11 09:45:22.186 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-11 07:45:47.630 GMT [18248] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:45:47.631 GMT [18248] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:45:47.633 GMT [18248] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-11 07:45:47.633 GMT [18248] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-11 09:45:47.656 CAT [6980] LOG:  statistics collector process (PID 18248) exited with exit code 1
2021-10-11 09:46:36.218 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-11 07:47:46.540 GMT [18056] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:47:46.541 GMT [18056] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:47:46.542 GMT [18056] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-11 07:47:46.542 GMT [18056] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-11 09:47:46.547 CAT [6980] LOG:  statistics collector process (PID 18056) exited with exit code 1
2021-10-11 09:47:51.890 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-11 07:48:46.586 GMT [4108] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:48:46.587 GMT [4108] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-11 07:48:46.589 GMT [4108] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-11 07:48:46.589 GMT [4108] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-11 09:48:46.615 CAT [6980] LOG:  statistics collector process (PID 4108) exited with exit code 1
