2021-09-11 19:55:03.345 GMT [576] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 19:55:03.352 GMT [576] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 19:55:03.364 GMT [576] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-11 19:55:03.364 GMT [576] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-11 21:55:03.398 CAT [6980] LOG:  statistics collector process (PID 576) exited with exit code 1
2021-09-11 21:55:50.400 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-11 19:56:03.632 GMT [10212] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 19:56:03.639 GMT [10212] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 19:56:03.649 GMT [10212] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-11 19:56:03.649 GMT [10212] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-11 21:56:03.676 CAT [6980] LOG:  statistics collector process (PID 10212) exited with exit code 1
2021-09-11 21:57:03.584 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-11 19:57:03.924 GMT [3624] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 19:57:03.930 GMT [3624] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 19:57:03.943 GMT [3624] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-11 19:57:03.943 GMT [3624] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-11 21:57:03.969 CAT [6980] LOG:  statistics collector process (PID 3624) exited with exit code 1
2021-09-11 19:58:04.123 GMT [12944] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 19:58:04.131 GMT [12944] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 19:58:04.144 GMT [12944] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-11 19:58:04.144 GMT [12944] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-11 21:58:04.171 CAT [6980] LOG:  statistics collector process (PID 12944) exited with exit code 1
2021-09-11 21:58:16.740 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-11 19:59:04.299 GMT [13784] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 19:59:04.304 GMT [13784] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 19:59:04.312 GMT [13784] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-11 19:59:04.312 GMT [13784] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-11 21:59:04.334 CAT [6980] LOG:  statistics collector process (PID 13784) exited with exit code 1
2021-09-11 21:59:35.783 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-11 20:00:04.499 GMT [12056] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 20:00:04.505 GMT [12056] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 20:00:04.516 GMT [12056] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-11 20:00:04.516 GMT [12056] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-11 22:00:04.556 CAT [6980] LOG:  statistics collector process (PID 12056) exited with exit code 1
2021-09-11 22:00:52.804 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-11 20:01:04.691 GMT [12324] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 20:01:04.695 GMT [12324] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 20:01:04.704 GMT [12324] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-11 20:01:04.704 GMT [12324] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-11 22:01:04.752 CAT [6980] LOG:  statistics collector process (PID 12324) exited with exit code 1
2021-09-11 20:02:05.142 GMT [1360] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 20:02:05.150 GMT [1360] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 20:02:05.165 GMT [1360] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-11 20:02:05.165 GMT [1360] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-11 22:02:05.208 CAT [6980] LOG:  statistics collector process (PID 1360) exited with exit code 1
2021-09-11 22:02:06.473 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-11 20:03:05.494 GMT [13840] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 20:03:05.500 GMT [13840] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-11 20:03:05.512 GMT [13840] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-11 20:03:05.512 GMT [13840] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-11 22:03:05.546 CAT [6980] LOG:  statistics collector process (PID 13840) exited with exit code 1
2021-09-11 22:03:19.451 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-11 20:04:05.787 GMT [13324] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
