2021-10-06 16:24:02.068 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-06 14:24:32.911 GMT [3468] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:24:32.914 GMT [3468] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:24:32.919 GMT [3468] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:24:32.919 GMT [3468] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:24:32.946 CAT [6980] LOG:  statistics collector process (PID 3468) exited with exit code 1
2021-10-06 16:25:18.513 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-06 14:25:33.119 GMT [3404] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:25:33.126 GMT [3404] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:25:33.140 GMT [3404] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:25:33.140 GMT [3404] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:25:33.172 CAT [6980] LOG:  statistics collector process (PID 3404) exited with exit code 1
2021-10-06 14:26:33.362 GMT [7804] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:26:33.370 GMT [7804] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:26:33.384 GMT [7804] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:26:33.384 GMT [7804] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:26:33.428 CAT [6980] LOG:  statistics collector process (PID 7804) exited with exit code 1
2021-10-06 16:26:34.937 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-06 14:27:33.666 GMT [3972] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:27:33.669 GMT [3972] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:27:33.675 GMT [3972] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:27:33.675 GMT [3972] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:27:33.687 CAT [6980] LOG:  statistics collector process (PID 3972) exited with exit code 1
2021-10-06 16:27:51.509 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-06 14:28:33.805 GMT [13744] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:28:33.809 GMT [13744] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:28:33.818 GMT [13744] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:28:33.818 GMT [13744] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:28:33.845 CAT [6980] LOG:  statistics collector process (PID 13744) exited with exit code 1
2021-10-06 16:29:08.564 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-06 14:29:33.942 GMT [5696] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:29:33.945 GMT [5696] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:29:33.952 GMT [5696] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:29:33.952 GMT [5696] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:29:33.967 CAT [6980] LOG:  statistics collector process (PID 5696) exited with exit code 1
2021-10-06 16:30:25.124 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-06 14:30:34.186 GMT [16784] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:30:34.191 GMT [16784] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:30:34.198 GMT [16784] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:30:34.198 GMT [16784] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:30:34.209 CAT [6980] LOG:  statistics collector process (PID 16784) exited with exit code 1
2021-10-06 14:31:34.308 GMT [10012] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:31:34.312 GMT [10012] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:31:34.320 GMT [10012] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:31:34.320 GMT [10012] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:31:34.337 CAT [6980] LOG:  statistics collector process (PID 10012) exited with exit code 1
2021-10-06 16:31:41.915 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-06 14:32:34.419 GMT [13092] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:32:34.422 GMT [13092] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:32:34.428 GMT [13092] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:32:34.428 GMT [13092] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:32:34.441 CAT [6980] LOG:  statistics collector process (PID 13092) exited with exit code 1
2021-10-06 16:32:58.117 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-06 14:33:34.518 GMT [11912] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:33:34.521 GMT [11912] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:33:34.527 GMT [11912] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:33:34.527 GMT [11912] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:33:34.555 CAT [6980] LOG:  statistics collector process (PID 11912) exited with exit code 1
2021-10-06 16:34:14.830 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-06 14:34:34.766 GMT [10236] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:34:34.770 GMT [10236] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:34:34.778 GMT [10236] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:34:34.778 GMT [10236] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:34:34.810 CAT [6980] LOG:  statistics collector process (PID 10236) exited with exit code 1
2021-10-06 16:35:31.382 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-06 14:35:34.946 GMT [15368] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:35:34.951 GMT [15368] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:35:34.958 GMT [15368] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:35:34.958 GMT [15368] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:35:34.990 CAT [6980] LOG:  statistics collector process (PID 15368) exited with exit code 1
2021-10-06 14:36:35.247 GMT [14976] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:36:35.250 GMT [14976] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:36:35.257 GMT [14976] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-06 14:36:35.257 GMT [14976] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-06 16:36:35.269 CAT [6980] LOG:  statistics collector process (PID 14976) exited with exit code 1
2021-10-06 16:36:47.751 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-06 14:37:35.644 GMT [872] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:37:35.651 GMT [872] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-06 14:37:35.665 GMT [872] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
