2021-10-16 22:00:18.312 GMT [5712] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 22:00:18.315 GMT [5712] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 22:00:18.320 GMT [5712] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-16 22:00:18.320 GMT [5712] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-17 00:00:18.341 CAT [6980] LOG:  statistics collector process (PID 5712) exited with exit code 1
2021-10-17 00:00:38.228 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-16 22:01:18.431 GMT [15496] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 22:01:18.434 GMT [15496] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 22:01:18.438 GMT [15496] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-16 22:01:18.438 GMT [15496] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-17 00:01:18.460 CAT [6980] LOG:  statistics collector process (PID 15496) exited with exit code 1
2021-10-17 00:01:51.996 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-16 22:02:18.545 GMT [18120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 22:02:18.547 GMT [18120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 22:02:18.552 GMT [18120] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-16 22:02:18.552 GMT [18120] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-17 00:02:18.571 CAT [6980] LOG:  statistics collector process (PID 18120) exited with exit code 1
2021-10-17 00:03:05.703 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-16 22:03:18.661 GMT [17440] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 22:03:18.664 GMT [17440] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 22:03:18.668 GMT [17440] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-16 22:03:18.668 GMT [17440] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-17 00:03:18.680 CAT [6980] LOG:  statistics collector process (PID 17440) exited with exit code 1
2021-10-16 22:04:18.766 GMT [8756] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 22:04:18.769 GMT [8756] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 22:04:18.774 GMT [8756] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
