2021-10-14 10:47:50.241 GMT [19352] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-14 10:47:50.242 GMT [19352] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-14 10:47:50.244 GMT [19352] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-14 10:47:50.244 GMT [19352] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-14 12:47:50.267 CAT [6980] LOG:  statistics collector process (PID 19352) exited with exit code 1
2021-10-14 12:48:05.245 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-14 10:48:50.301 GMT [13076] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-14 10:48:50.302 GMT [13076] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-14 10:48:50.304 GMT [13076] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-14 10:48:50.304 GMT [13076] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-14 12:48:50.331 CAT [6980] LOG:  statistics collector process (PID 13076) exited with exit code 1
2021-10-14 12:49:21.039 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-14 10:49:50.356 GMT [16176] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-14 10:49:50.357 GMT [16176] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-14 10:49:50.359 GMT [16176] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-14 10:49:50.359 GMT [16176] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-14 12:49:50.386 CAT [6980] LOG:  statistics collector process (PID 16176) exited with exit code 1
2021-10-14 12:50:36.807 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-14 10:50:50.432 GMT [11224] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-14 10:50:50.432 GMT [11224] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-14 10:50:50.434 GMT [11224] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-14 10:50:50.434 GMT [11224] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-14 12:50:50.460 CAT [6980] LOG:  statistics collector process (PID 11224) exited with exit code 1
2021-10-14 10:51:50.487 GMT [4088] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-14 10:51:50.488 GMT [4088] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-14 10:51:50.490 GMT [4088] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-14 10:51:50.490 GMT [4088] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-14 12:51:50.508 CAT [6980] LOG:  statistics collector process (PID 4088) exited with exit code 1
2021-10-14 12:51:52.580 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-14 10:52:50.552 GMT [16328] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
