2021-09-27 11:31:24.937 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:31:54.815 GMT [13136] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:31:54.817 GMT [13136] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:31:54.818 GMT [13136] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:31:54.818 GMT [13136] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:31:54.833 CAT [6980] LOG:  statistics collector process (PID 13136) exited with exit code 1
2021-09-27 11:32:35.651 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:32:54.889 GMT [11024] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:32:54.890 GMT [11024] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:32:54.892 GMT [11024] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:32:54.892 GMT [11024] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:32:54.907 CAT [6980] LOG:  statistics collector process (PID 11024) exited with exit code 1
2021-09-27 11:33:46.111 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:33:54.936 GMT [6308] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:33:54.937 GMT [6308] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:33:54.940 GMT [6308] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:33:54.940 GMT [6308] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:33:54.945 CAT [6980] LOG:  statistics collector process (PID 6308) exited with exit code 1
2021-09-27 09:34:54.982 GMT [15628] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:34:54.983 GMT [15628] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:34:54.988 GMT [15628] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:34:54.988 GMT [15628] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:34:54.997 CAT [6980] LOG:  statistics collector process (PID 15628) exited with exit code 1
2021-09-27 11:34:56.584 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:35:55.040 GMT [14608] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:35:55.041 GMT [14608] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:35:55.043 GMT [14608] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:35:55.043 GMT [14608] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:35:55.059 CAT [6980] LOG:  statistics collector process (PID 14608) exited with exit code 1
2021-09-27 11:36:07.130 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:36:55.112 GMT [7480] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:36:55.113 GMT [7480] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:36:55.115 GMT [7480] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:36:55.115 GMT [7480] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:36:55.130 CAT [6980] LOG:  statistics collector process (PID 7480) exited with exit code 1
2021-09-27 11:37:17.593 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:37:55.180 GMT [16904] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:37:55.181 GMT [16904] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:37:55.183 GMT [16904] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:37:55.183 GMT [16904] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:37:55.199 CAT [6980] LOG:  statistics collector process (PID 16904) exited with exit code 1
2021-09-27 11:38:28.001 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:38:55.250 GMT [5376] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:38:55.251 GMT [5376] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:38:55.253 GMT [5376] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:38:55.253 GMT [5376] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:38:55.267 CAT [6980] LOG:  statistics collector process (PID 5376) exited with exit code 1
2021-09-27 11:39:38.421 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:39:55.405 GMT [13380] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:39:55.406 GMT [13380] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:39:55.408 GMT [13380] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:39:55.408 GMT [13380] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:39:55.413 CAT [6980] LOG:  statistics collector process (PID 13380) exited with exit code 1
2021-09-27 11:40:48.855 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:40:55.465 GMT [9828] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:40:55.466 GMT [9828] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:40:55.468 GMT [9828] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:40:55.468 GMT [9828] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:40:55.483 CAT [6980] LOG:  statistics collector process (PID 9828) exited with exit code 1
2021-09-27 09:41:55.535 GMT [14632] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:41:55.536 GMT [14632] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:41:55.537 GMT [14632] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:41:55.537 GMT [14632] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:41:55.552 CAT [6980] LOG:  statistics collector process (PID 14632) exited with exit code 1
2021-09-27 11:41:59.285 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:42:55.603 GMT [16856] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:42:55.604 GMT [16856] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:42:55.606 GMT [16856] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:42:55.606 GMT [16856] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:42:55.622 CAT [6980] LOG:  statistics collector process (PID 16856) exited with exit code 1
2021-09-27 11:43:09.762 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:43:55.674 GMT [12776] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:43:55.675 GMT [12776] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:43:55.677 GMT [12776] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:43:55.677 GMT [12776] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:43:55.692 CAT [6980] LOG:  statistics collector process (PID 12776) exited with exit code 1
2021-09-27 11:44:20.195 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:44:55.750 GMT [6624] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:44:55.751 GMT [6624] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:44:55.753 GMT [6624] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:44:55.753 GMT [6624] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:44:55.767 CAT [6980] LOG:  statistics collector process (PID 6624) exited with exit code 1
2021-09-27 11:45:30.610 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:45:55.796 GMT [13568] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:45:55.797 GMT [13568] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:45:55.799 GMT [13568] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:45:55.799 GMT [13568] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-27 11:45:55.814 CAT [6980] LOG:  statistics collector process (PID 13568) exited with exit code 1
2021-09-27 11:46:41.033 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-27 09:46:55.847 GMT [12440] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:46:55.848 GMT [12440] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-27 09:46:55.850 GMT [12440] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-27 09:46:55.850 GMT [12440] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
