2021-10-08 10:46:57.675 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 08:47:35.987 GMT [2716] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:47:35.988 GMT [2716] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:47:35.989 GMT [2716] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:47:35.989 GMT [2716] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:47:36.004 CAT [6980] LOG:  statistics collector process (PID 2716) exited with exit code 1
2021-10-08 10:48:13.204 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 08:48:36.046 GMT [16560] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:48:36.047 GMT [16560] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:48:36.049 GMT [16560] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:48:36.049 GMT [16560] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:48:36.074 CAT [6980] LOG:  statistics collector process (PID 16560) exited with exit code 1
2021-10-08 10:49:24.924 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 08:49:36.126 GMT [7412] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:49:36.127 GMT [7412] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:49:36.129 GMT [7412] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:49:36.129 GMT [7412] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:49:36.133 CAT [6980] LOG:  statistics collector process (PID 7412) exited with exit code 1
2021-10-08 08:50:36.260 GMT [6068] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:50:36.261 GMT [6068] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:50:36.263 GMT [6068] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:50:36.263 GMT [6068] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:50:36.278 CAT [6980] LOG:  statistics collector process (PID 6068) exited with exit code 1
2021-10-08 10:50:37.071 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 08:51:36.425 GMT [16900] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:51:36.426 GMT [16900] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:51:36.428 GMT [16900] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:51:36.428 GMT [16900] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:51:36.442 CAT [6980] LOG:  statistics collector process (PID 16900) exited with exit code 1
2021-10-08 10:51:47.488 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 08:52:36.480 GMT [6120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:52:36.481 GMT [6120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:52:36.483 GMT [6120] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:52:36.483 GMT [6120] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:52:36.497 CAT [6980] LOG:  statistics collector process (PID 6120) exited with exit code 1
2021-10-08 10:52:57.771 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 08:53:36.535 GMT [6600] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:53:36.536 GMT [6600] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:53:36.538 GMT [6600] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:53:36.538 GMT [6600] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:53:36.553 CAT [6980] LOG:  statistics collector process (PID 6600) exited with exit code 1
2021-10-08 10:54:13.197 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 08:54:36.588 GMT [11752] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:54:36.589 GMT [11752] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:54:36.590 GMT [11752] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:54:36.590 GMT [11752] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:54:36.611 CAT [6980] LOG:  statistics collector process (PID 11752) exited with exit code 1
2021-10-08 10:55:28.984 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 08:55:36.655 GMT [16540] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:55:36.657 GMT [16540] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:55:36.658 GMT [16540] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:55:36.658 GMT [16540] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:55:36.683 CAT [6980] LOG:  statistics collector process (PID 16540) exited with exit code 1
2021-10-08 08:56:36.741 GMT [12900] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:56:36.742 GMT [12900] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:56:36.744 GMT [12900] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:56:36.744 GMT [12900] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:56:36.774 CAT [6980] LOG:  statistics collector process (PID 12900) exited with exit code 1
2021-10-08 10:56:44.802 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 08:57:36.857 GMT [17336] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:57:36.858 GMT [17336] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:57:36.860 GMT [17336] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:57:36.860 GMT [17336] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:57:36.882 CAT [6980] LOG:  statistics collector process (PID 17336) exited with exit code 1
2021-10-08 10:58:00.558 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 08:58:36.913 GMT [980] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:58:36.914 GMT [980] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:58:36.916 GMT [980] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:58:36.916 GMT [980] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:58:36.938 CAT [6980] LOG:  statistics collector process (PID 980) exited with exit code 1
2021-10-08 10:59:16.348 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 08:59:36.980 GMT [6816] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:59:36.981 GMT [6816] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 08:59:36.983 GMT [6816] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 08:59:36.983 GMT [6816] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 10:59:36.987 CAT [6980] LOG:  statistics collector process (PID 6816) exited with exit code 1
2021-10-08 11:00:31.822 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-08 09:00:37.012 GMT [14124] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 09:00:37.013 GMT [14124] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-08 09:00:37.014 GMT [14124] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-08 09:00:37.014 GMT [14124] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-08 11:00:37.040 CAT [6980] LOG:  statistics collector process (PID 14124) exited with exit code 1
2021-10-08 09:01:37.068 GMT [10156] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
