2021-10-13 15:33:05.083 GMT [5900] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:33:05.084 GMT [5900] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:33:05.086 GMT [5900] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:33:05.086 GMT [5900] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:33:05.107 CAT [6980] LOG:  statistics collector process (PID 5900) exited with exit code 1
2021-10-13 17:33:15.305 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:34:05.136 GMT [3804] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:34:05.137 GMT [3804] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:34:05.139 GMT [3804] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:34:05.139 GMT [3804] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:34:05.158 CAT [6980] LOG:  statistics collector process (PID 3804) exited with exit code 1
2021-10-13 17:34:31.088 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:35:05.220 GMT [13232] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:35:05.221 GMT [13232] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:35:05.223 GMT [13232] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:35:05.223 GMT [13232] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:35:05.227 CAT [6980] LOG:  statistics collector process (PID 13232) exited with exit code 1
2021-10-13 17:35:46.917 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:36:05.634 GMT [12156] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:36:05.635 GMT [12156] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:36:05.637 GMT [12156] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:36:05.637 GMT [12156] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:36:05.644 CAT [6980] LOG:  statistics collector process (PID 12156) exited with exit code 1
2021-10-13 17:37:02.643 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:37:05.897 GMT [2532] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:37:05.898 GMT [2532] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:37:05.900 GMT [2532] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:37:05.900 GMT [2532] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:37:05.904 CAT [6980] LOG:  statistics collector process (PID 2532) exited with exit code 1
2021-10-13 15:38:05.934 GMT [7112] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:38:05.935 GMT [7112] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:38:05.936 GMT [7112] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:38:05.936 GMT [7112] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:38:05.967 CAT [6980] LOG:  statistics collector process (PID 7112) exited with exit code 1
2021-10-13 17:38:18.453 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:39:06.119 GMT [13128] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:39:06.120 GMT [13128] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:39:06.122 GMT [13128] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:39:06.122 GMT [13128] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:39:06.147 CAT [6980] LOG:  statistics collector process (PID 13128) exited with exit code 1
2021-10-13 17:39:34.225 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:40:06.187 GMT [16260] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:40:06.188 GMT [16260] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:40:06.190 GMT [16260] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:40:06.190 GMT [16260] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:40:06.195 CAT [6980] LOG:  statistics collector process (PID 16260) exited with exit code 1
2021-10-13 17:40:50.033 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:41:06.229 GMT [15736] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:41:06.230 GMT [15736] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:41:06.231 GMT [15736] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:41:06.231 GMT [15736] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:41:06.236 CAT [6980] LOG:  statistics collector process (PID 15736) exited with exit code 1
2021-10-13 17:42:05.839 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:42:06.256 GMT [12472] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:42:06.257 GMT [12472] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:42:06.258 GMT [12472] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:42:06.258 GMT [12472] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:42:06.277 CAT [6980] LOG:  statistics collector process (PID 12472) exited with exit code 1
2021-10-13 15:43:06.327 GMT [9728] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:43:06.327 GMT [9728] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:43:06.329 GMT [9728] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:43:06.329 GMT [9728] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:43:06.333 CAT [6980] LOG:  statistics collector process (PID 9728) exited with exit code 1
2021-10-13 17:43:21.508 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:44:06.355 GMT [12140] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:44:06.356 GMT [12140] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:44:06.358 GMT [12140] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:44:06.358 GMT [12140] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:44:06.376 CAT [6980] LOG:  statistics collector process (PID 12140) exited with exit code 1
2021-10-13 17:44:37.281 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:45:06.424 GMT [3008] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:45:06.425 GMT [3008] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:45:06.427 GMT [3008] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:45:06.427 GMT [3008] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:45:06.445 CAT [6980] LOG:  statistics collector process (PID 3008) exited with exit code 1
2021-10-13 17:45:53.052 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:46:06.497 GMT [12332] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:46:06.498 GMT [12332] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:46:06.500 GMT [12332] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:46:06.500 GMT [12332] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:46:06.526 CAT [6980] LOG:  statistics collector process (PID 12332) exited with exit code 1
2021-10-13 15:47:06.557 GMT [11560] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:47:06.558 GMT [11560] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:47:06.560 GMT [11560] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:47:06.560 GMT [11560] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:47:06.564 CAT [6980] LOG:  statistics collector process (PID 11560) exited with exit code 1
2021-10-13 17:47:07.045 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:48:06.612 GMT [6528] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:48:06.613 GMT [6528] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:48:06.614 GMT [6528] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:48:06.614 GMT [6528] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:48:06.618 CAT [6980] LOG:  statistics collector process (PID 6528) exited with exit code 1
2021-10-13 17:48:20.237 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:49:06.654 GMT [14560] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:49:06.655 GMT [14560] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:49:06.656 GMT [14560] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-13 15:49:06.656 GMT [14560] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-13 17:49:06.661 CAT [6980] LOG:  statistics collector process (PID 14560) exited with exit code 1
2021-10-13 17:49:35.938 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-13 15:50:06.695 GMT [18384] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:50:06.696 GMT [18384] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-13 15:50:06.698 GMT [18384] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
