2021-09-19 00:40:06.042 GMT [11000] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:40:06.043 GMT [11000] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:40:06.045 GMT [11000] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:40:06.045 GMT [11000] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:40:06.062 CAT [6980] LOG:  statistics collector process (PID 11000) exited with exit code 1
2021-09-19 02:40:42.407 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-19 00:41:06.096 GMT [12120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:41:06.097 GMT [12120] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:41:06.099 GMT [12120] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:41:06.099 GMT [12120] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:41:06.104 CAT [6980] LOG:  statistics collector process (PID 12120) exited with exit code 1
2021-09-19 02:41:55.554 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-19 00:42:06.147 GMT [8696] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:42:06.148 GMT [8696] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:42:06.151 GMT [8696] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:42:06.151 GMT [8696] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:42:06.156 CAT [6980] LOG:  statistics collector process (PID 8696) exited with exit code 1
2021-09-19 00:43:06.202 GMT [6932] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:43:06.203 GMT [6932] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:43:06.205 GMT [6932] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:43:06.205 GMT [6932] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:43:06.220 CAT [6980] LOG:  statistics collector process (PID 6932) exited with exit code 1
2021-09-19 02:43:07.939 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-19 00:44:06.278 GMT [1564] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:44:06.279 GMT [1564] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:44:06.281 GMT [1564] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:44:06.281 GMT [1564] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:44:06.286 CAT [6980] LOG:  statistics collector process (PID 1564) exited with exit code 1
2021-09-19 02:44:19.069 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-19 00:45:06.320 GMT [4720] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:45:06.321 GMT [4720] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:45:06.323 GMT [4720] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:45:06.323 GMT [4720] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:45:06.329 CAT [6980] LOG:  statistics collector process (PID 4720) exited with exit code 1
2021-09-19 02:45:32.111 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-19 00:46:06.367 GMT [13204] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:46:06.368 GMT [13204] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:46:06.370 GMT [13204] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:46:06.370 GMT [13204] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:46:06.375 CAT [6980] LOG:  statistics collector process (PID 13204) exited with exit code 1
2021-09-19 02:46:45.204 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-19 00:47:06.415 GMT [12904] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:47:06.417 GMT [12904] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:47:06.419 GMT [12904] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:47:06.419 GMT [12904] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:47:06.436 CAT [6980] LOG:  statistics collector process (PID 12904) exited with exit code 1
2021-09-19 02:47:57.031 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-19 00:48:06.485 GMT [12740] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:48:06.486 GMT [12740] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:48:06.489 GMT [12740] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:48:06.489 GMT [12740] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:48:06.504 CAT [6980] LOG:  statistics collector process (PID 12740) exited with exit code 1
2021-09-19 00:49:06.531 GMT [13948] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:49:06.533 GMT [13948] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:49:06.535 GMT [13948] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:49:06.535 GMT [13948] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:49:06.554 CAT [6980] LOG:  statistics collector process (PID 13948) exited with exit code 1
2021-09-19 02:49:07.458 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-19 00:50:06.590 GMT [9824] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:50:06.591 GMT [9824] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:50:06.593 GMT [9824] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:50:06.593 GMT [9824] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:50:06.612 CAT [6980] LOG:  statistics collector process (PID 9824) exited with exit code 1
2021-09-19 02:50:20.362 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-19 00:51:06.640 GMT [13136] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:51:06.641 GMT [13136] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:51:06.643 GMT [13136] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:51:06.643 GMT [13136] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:51:06.649 CAT [6980] LOG:  statistics collector process (PID 13136) exited with exit code 1
2021-09-19 02:51:33.064 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-19 00:52:06.705 GMT [5380] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:52:06.706 GMT [5380] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-19 00:52:06.708 GMT [5380] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-19 00:52:06.708 GMT [5380] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-19 02:52:06.727 CAT [6980] LOG:  statistics collector process (PID 5380) exited with exit code 1
2021-09-19 02:52:45.321 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-19 00:53:06.760 GMT [1972] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
