2021-09-29 15:30:26.293 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-29 13:31:09.480 GMT [16228] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-29 13:31:09.485 GMT [16228] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-29 13:31:09.494 GMT [16228] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-29 13:31:09.494 GMT [16228] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-29 15:31:09.521 CAT [6980] LOG:  statistics collector process (PID 16228) exited with exit code 1
2021-09-29 15:31:36.818 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-29 13:32:09.647 GMT [12564] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-29 13:32:09.654 GMT [12564] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-29 13:32:09.664 GMT [12564] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-09-29 13:32:09.664 GMT [12564] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-09-29 15:32:09.692 CAT [6980] LOG:  statistics collector process (PID 12564) exited with exit code 1
2021-09-29 15:32:47.341 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-09-29 13:33:09.819 GMT [5464] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-09-29 13:33:09.825 GMT [5464] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
