2021-10-16 23:36:04.871 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-16 21:36:13.560 GMT [13816] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:36:13.562 GMT [13816] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:36:13.567 GMT [13816] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-16 21:36:13.567 GMT [13816] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-16 23:36:13.578 CAT [6980] LOG:  statistics collector process (PID 13816) exited with exit code 1
2021-10-16 21:37:13.745 GMT [18664] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:37:13.748 GMT [18664] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:37:13.753 GMT [18664] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-16 21:37:13.753 GMT [18664] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-16 23:37:13.763 CAT [6980] LOG:  statistics collector process (PID 18664) exited with exit code 1
2021-10-16 23:37:18.564 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-16 21:38:13.927 GMT [18464] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:38:13.930 GMT [18464] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:38:13.934 GMT [18464] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-16 21:38:13.934 GMT [18464] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-16 23:38:13.961 CAT [6980] LOG:  statistics collector process (PID 18464) exited with exit code 1
2021-10-16 23:38:32.256 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-16 21:39:14.122 GMT [19180] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:39:14.125 GMT [19180] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:39:14.129 GMT [19180] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-16 21:39:14.129 GMT [19180] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-16 23:39:14.139 CAT [6980] LOG:  statistics collector process (PID 19180) exited with exit code 1
2021-10-16 23:39:45.862 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-16 21:40:14.296 GMT [7900] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:40:14.298 GMT [7900] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:40:14.303 GMT [7900] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
2021-10-16 21:40:14.303 GMT [7900] HINT:  This may indicate an incomplete PostgreSQL installation, or that the file "C:/Program Files/PostgreSQL/12/bin/postgres.exe" has been moved away from its proper location.
2021-10-16 23:40:14.324 CAT [6980] LOG:  statistics collector process (PID 7900) exited with exit code 1
2021-10-16 23:40:59.556 CAT [5920] LOG:  using stale statistics instead of current ones because stats collector is not responding
2021-10-16 21:41:14.454 GMT [15620] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:41:14.456 GMT [15620] LOG:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezone": No such file or directory
2021-10-16 21:41:14.462 GMT [15620] FATAL:  could not open directory "C:/Program Files/PostgreSQL/12/share/timezonesets": No such file or directory
